,Play Type,Outcome
0,Catch + Shoot (3PT),0
1,Catch + Shoot (3PT),0
2,Catch + Shoot (3PT),0
3,Catch + Shoot (3PT),0
4,Catch + Shoot (3PT),0
5,Catch + Shoot (3PT),0
6,Catch + Shoot (3PT),0
7,Catch + Shoot (3PT),0
8,Catch + Shoot (3PT),0
9,Catch + Shoot (3PT),0
10,Catch + Shoot (3PT),0
11,Catch + Shoot (3PT),1
12,Catch + Shoot (3PT),1
13,Catch + Shoot (3PT),1
14,Drive Right,1
15,Drive Right,1
16,Drive Right,0
17,Drive Right,0
18,Drive Right,0
19,Drive Right,0
20,Drive Right,0
21,Off-Ball Cut,0
22,Transition,0
23,Catch + Shoot (3PT),0
24,Catch + Shoot (3PT),0
25,Catch + Shoot (3PT),0
26,Catch + Shoot (3PT),0
27,Catch + Shoot (3PT),0
28,Catch + Shoot (3PT),0
29,Catch + Shoot (3PT),0
30,Catch + Shoot (3PT),1
31,Catch + Shoot (3PT),1
32,Catch + Shoot (3PT),1
33,Catch + Shoot (3PT),1
34,Catch + Shoot (3PT),1
35,Pull-Up (2PT),0
36,Pull-Up (2PT),0
37,Pull-Up (3PT),0
38,Pull-Up (3PT),0
39,Pull-Up (3PT),0
40,Pull-Up (3PT),1
41,Transition,0
42,Transition,0
43,Drive Left,0
44,Catch + Shoot (3PT),0
45,Catch + Shoot (3PT),0
46,Catch + Shoot (3PT),0
47,Catch + Shoot (3PT),0
48,Catch + Shoot (3PT),0
49,Catch + Shoot (3PT),0
50,Catch + Shoot (3PT),0
51,Catch + Shoot (3PT),0
52,Catch + Shoot (3PT),0
53,Catch + Shoot (3PT),0
54,Catch + Shoot (3PT),1
55,Catch + Shoot (3PT),1
56,Catch + Shoot (3PT),1
57,Catch + Shoot (3PT),1
58,Drive Right,0
59,Drive Right,0
60,Drive Right,0
61,Drive Right,1
62,Drive Right,1
63,Drive Right,1
64,Off-Ball Cut,0
65,Off-Ball Cut,1
66,Post-Up (Right),1
67,Post-Up (Right),1
68,Offensive Rebound,1
69,Catch + Shoot (3PT),0
70,Catch + Shoot (3PT),0
71,Catch + Shoot (3PT),0
72,Catch + Shoot (3PT),0
73,Catch + Shoot (3PT),0
74,Catch + Shoot (3PT),0
75,Catch + Shoot (3PT),0
76,Catch + Shoot (3PT),1
77,Off-Ball Cut,1
78,Off-Ball Cut,0
79,Drive Left,0
80,Drive Left,0
81,Drive Left,0
82,Drive Left,0
83,Drive Left,1
84,Drive Right,1
85,Drive Right,1
86,Drive Right,0
87,Drive Right,0
88,Drive Right,0
89,Drive Right,0
90,Drive Right,0
91,Transition,1
92,Catch + Shoot (3PT),0
93,Catch + Shoot (3PT),0
94,Catch + Shoot (3PT),0
95,Catch + Shoot (3PT),0
96,Catch + Shoot (3PT),0
97,Catch + Shoot (3PT),0
98,Catch + Shoot (3PT),0
99,Catch + Shoot (3PT),0
100,Catch + Shoot (3PT),0
101,Catch + Shoot (3PT),1
102,Catch + Shoot (3PT),1
103,Catch + Shoot (3PT),1
104,Catch + Shoot (3PT),1
105,Catch + Shoot (3PT),1
106,Catch + Shoot (3PT),1
107,Catch + Shoot (3PT),1
108,Catch + Shoot (3PT),1
109,Drive + Dump,1
110,Drive + Dump,1
111,Drive + Dump,1
112,Drive + Dump,1
113,Drive + Dump,0
114,Post-Up (Right),0
115,Post-Up (Right),1
116,Post-Up (Right),1
117,Offensive Rebound,0
118,Offensive Rebound,0
119,Offensive Rebound,0
120,Offensive Rebound,0
121,Offensive Rebound,0
122,Offensive Rebound,1
123,Offensive Rebound,1
124,Offensive Rebound,1
125,Drive Right,1
126,Drive Right,1
127,Drive Right,1
128,Drive Left,1
129,Transition,1
130,Transition,1
131,Transition,1
132,Transition,0
133,Transition,0
134,Off-Ball Cut,0
135,Post-Up (Left),1
136,Drive Left,0
137,Drive Left,0
138,Drive Left,1
139,Drive Right,0
140,Drive Right,0
141,Drive Right,0
142,Drive Right,0
143,Drive Right,0
144,Drive Right,0
145,Drive Right,1
146,Drive Right,1
147,Drive Right,1
148,Drive Right,1
149,Drive Right,1
150,Drive Right,1
151,Drive Right,1
152,Drive Right,1
153,Drive Right,1
154,Pull-Up (3PT),0
155,Offensive Rebound,1
156,Catch + Shoot (3PT),0
157,Catch + Shoot (3PT),0
158,Catch + Shoot (3PT),0
159,Catch + Shoot (3PT),0
160,Post-Up (Right),0
161,Off-Ball Cut,1
162,Drive Left,0
163,Drive Left,0
164,Drive Left,0
165,Drive Left,0
166,Drive Left,0
167,Drive Left,0
168,Drive Left,0
169,Drive Left,1
170,Drive Left,1
171,Offensive Rebound,0
172,Offensive Rebound,0
173,Offensive Rebound,1
174,Offensive Rebound,1
175,Offensive Rebound,1
176,Offensive Rebound,1
177,Transition,1
178,Transition,1
179,Transition,0
180,Post-Up (Left),1
181,Post-Up (Left),1
182,Post-Up (Left),1
183,Catch + Shoot (3PT),0
184,Catch + Shoot (3PT),0
185,Catch + Shoot (3PT),0
186,Catch + Shoot (3PT),0
187,Catch + Shoot (3PT),0
188,Catch + Shoot (3PT),0
189,Catch + Shoot (3PT),0
190,Catch + Shoot (3PT),0
191,Catch + Shoot (3PT),0
192,Catch + Shoot (3PT),1
193,Catch + Shoot (3PT),1
194,Drive + Dump,0
195,Drive + Dump,1
196,Drive + Dump,1
197,Drive + Dump,1
198,Catch + Shoot (2PT),0
199,Off-Ball Cut,0
200,Post-Up (Right),1
201,Post-Up (Right),0
202,Pull-Up (3PT),0
203,Pull-Up (3PT),0
204,Pull-Up (3PT),1
205,Pull-Up (3PT),1
206,Drive Right,0
207,Drive Right,0
208,Drive Right,0
209,Pull-Up (2PT),1
210,Drive Left,1
211,Drive Left,1
212,Drive Left,0
213,Drive Left,0
214,Drive Left,0
215,Drive Left,0
216,Catch + Shoot (2PT),1
217,Catch + Shoot (2PT),0
218,Transition,1
219,Post-Up (Left),1
220,Off-Ball Cut,0
221,Off-Ball Cut,1
222,Offensive Rebound,1
223,Catch + Shoot (3PT),1
224,Catch + Shoot (3PT),1
225,Catch + Shoot (3PT),1
226,Catch + Shoot (3PT),1
227,Catch + Shoot (3PT),1
228,Catch + Shoot (3PT),0
229,Catch + Shoot (3PT),0
230,Catch + Shoot (3PT),0
231,Catch + Shoot (3PT),0
232,Catch + Shoot (3PT),0
233,Catch + Shoot (3PT),0
234,Catch + Shoot (3PT),0
235,Catch + Shoot (3PT),0
236,Catch + Shoot (3PT),0
237,Catch + Shoot (3PT),0
238,Catch + Shoot (3PT),0
239,Catch + Shoot (3PT),0
240,Catch + Shoot (3PT),0
241,Catch + Shoot (3PT),0
242,Catch + Shoot (3PT),0
243,Catch + Shoot (3PT),0
244,Catch + Shoot (3PT),0
245,Catch + Shoot (3PT),0
246,Catch + Shoot (2PT),0
247,Catch + Shoot (2PT),0
248,Offensive Rebound,1
249,Offensive Rebound,1
250,Offensive Rebound,1
251,Offensive Rebound,1
252,Offensive Rebound,0
253,Offensive Rebound,0
254,Drive + Dump,1
255,Drive + Dump,1
256,Drive + Dump,1
257,Drive + Dump,1
258,Drive + Dump,0
259,Post-Up (Left),0
260,Post-Up (Left),0
261,Post-Up (Left),1
262,Post-Up (Left),1
263,Off-Ball Cut,0
264,Transition,1
265,Post-Up (Right),1
266,Post-Up (Right),1
267,Catch + Shoot (3PT),0
268,Catch + Shoot (3PT),0
269,Catch + Shoot (3PT),0
270,Catch + Shoot (3PT),1
271,Off-Ball Cut,1
272,Off-Ball Cut,1
273,Off-Ball Cut,0
