,Play Type,Outcome
0,Pick-and-Pop,0
1,Transition,0
2,Drive + Kick,0
3,Pick-and-Pop,1
4,Transition,1
5,Transition,0
6,Pull-Up,0
7,Perimeter/Pass,0
8,Transition,0
9,Pull-Up,1
10,Drive + Kick,0
11,Pick-and-Pop,1
12,Pull-Up,1
13,Drive + Kick,1
14,Perimeter/Pass,1
15,Drive + Kick,1
16,Drive + Kick,1
17,Pull-Up,0
18,Pull-Up,0
19,Down Screen,0
20,Drive + Kick,1
21,Transition,0
22,Perimeter/Pass,0
23,Perimeter/Pass,0
24,Drive + Kick,1
25,Drive + Kick,1
26,Drive + Kick,0
27,Perimeter/Pass,1
28,Offensive Rebound Kick,0
29,Transition,0
30,Pull-Up,1
31,Pull-Up,1
32,Perimeter/Pass,1
