,Play Type,Outcome
0,Catch + Shoot (3PT),0
1,Catch + Shoot (3PT),0
2,Catch + Shoot (3PT),0
3,Catch + Shoot (3PT),0
4,Catch + Shoot (3PT),0
5,Catch + Shoot (3PT),0
6,Catch + Shoot (3PT),0
7,Catch + Shoot (3PT),0
8,Catch + Shoot (3PT),0
9,Catch + Shoot (3PT),0
10,Catch + Shoot (3PT),1
11,Catch + Shoot (3PT),1
12,Catch + Shoot (3PT),1
13,Catch + Shoot (3PT),1
14,Drive Right,0
15,Drive Right,0
16,Drive Right,0
17,Drive Right,0
18,Drive Right,0
19,Drive Right,0
20,Drive Right,1
21,Drive Right,1
22,Drive Right,1
23,Transition,0
24,Transition,1
25,Transition,1
26,Transition,1
27,Transition,1
28,Transition,1
29,Transition,1
30,Drive Left,0
31,Drive Left,1
32,Off-Ball Cut,1
33,Pull-Up (2PT),0
34,Pull-Up (2PT),0
35,Pull-Up (2PT),0
36,Pull-Up (2PT),0
37,Pull-Up (2PT),0
38,Pull-Up (2PT),0
39,Pull-Up (2PT),0
40,Pull-Up (2PT),0
41,Pull-Up (2PT),0
42,Pull-Up (2PT),1
43,Pull-Up (2PT),1
44,Pull-Up (2PT),1
45,Pull-Up (2PT),1
46,Pull-Up (2PT),1
47,Pull-Up (2PT),1
48,Pull-Up (2PT),1
49,Pull-Up (2PT),1
50,Pull-Up (2PT),1
51,Pull-Up (2PT),1
52,Pull-Up (2PT),1
53,Pull-Up (2PT),1
54,Drive Right,0
55,Drive Right,0
56,Drive Right,0
57,Drive Right,0
58,Drive Right,0
59,Drive Right,0
60,Drive Right,0
61,Drive Right,0
62,Drive Right,0
63,Drive Right,1
64,Drive Right,1
65,Drive Right,1
66,Drive Right,1
67,Drive Right,1
68,Catch + Shoot (3PT),0
69,Catch + Shoot (3PT),0
70,Catch + Shoot (3PT),0
71,Catch + Shoot (3PT),0
72,Catch + Shoot (3PT),0
73,Catch + Shoot (3PT),0
74,Catch + Shoot (3PT),0
75,Catch + Shoot (3PT),0
76,Catch + Shoot (3PT),0
77,Catch + Shoot (3PT),1
78,Catch + Shoot (3PT),1
79,Catch + Shoot (3PT),1
80,Pull-Up (3PT),0
81,Pull-Up (3PT),0
82,Pull-Up (3PT),0
83,Pull-Up (3PT),0
84,Pull-Up (3PT),0
85,Pull-Up (3PT),1
86,Pull-Up (3PT),1
87,Off-Ball Cut,1
88,Off-Ball Cut,1
89,Drive Left,0
90,Drive Left,0
91,Drive Left,0
92,Drive Left,0
93,Drive Left,1
94,Drive Left,1
95,Drive Left,1
96,Drive Left,1
97,Drive Left,1
98,Drive Left,1
99,Drive Left,1
100,Drive Left,1
101,Pull-Up (2PT),0
102,Offensive Rebound,1
103,Offensive Rebound,1
104,Offensive Rebound,1
105,Offensive Rebound,1
106,Offensive Rebound,1
107,Offensive Rebound,0
108,Drive + Dump,0
109,Drive + Dump,0
110,PnR Roll Man,0
111,PnR Roll Man,1
112,PnR Roll Man,1
113,PnR Roll Man,1
114,Post-Up (Right),0
115,Post-Up (Right),0
116,Post-Up (Right),1
117,Post-Up (Right),1
118,Post-Up (Right),1
119,Post-Up (Left),1
120,Post-Up (Left),1
121,Post-Up (Left),1
122,Post-Up (Left),1
123,Post-Up (Left),1
124,Post-Up (Left),1
125,Post-Up (Left),1
126,Post-Up (Left),0
127,Post-Up (Left),0
128,Post-Up (Left),0
129,Post-Up (Left),0
130,Post-Up (Left),0
131,Post-Up (Left),0
132,Post-Up (Left),0
133,Post-Up (Left),0
134,Transition,1
135,Transition,1
136,Transition,0
137,Transition,0
138,Catch + Shoot (2PT),0
139,Pull-Up (2PT),0
140,Pull-Up (2PT),0
141,Pull-Up (2PT),0
142,Off-Ball Cut,1
143,Off-Ball Cut,1
144,Off-Ball Cut,1
145,Off-Ball Cut,1
146,Off-Ball Cut,0
147,Drive Left,0
148,Drive Left,0
149,Drive Left,0
150,Drive Left,0
151,Drive Left,1
152,Post-Up (Right),0
153,Post-Up (Right),0
154,Post-Up (Right),1
155,Post-Up (Right),1
156,Post-Up (Right),1
157,Post-Up (Right),1
158,Catch + Shoot (3PT),0
159,Catch + Shoot (3PT),0
160,Catch + Shoot (3PT),0
161,Catch + Shoot (3PT),1
162,Catch + Shoot (2PT),0
163,Catch + Shoot (2PT),0
164,Post-Up (Left),0
165,Post-Up (Right),0
166,Post-Up (Right),0
167,Post-Up (Right),0
168,Post-Up (Right),0
169,Post-Up (Right),0
170,Post-Up (Right),1
171,Post-Up (Right),1
172,Post-Up (Right),1
173,Post-Up (Left),0
174,Post-Up (Left),0
175,Off-Ball Cut,0
176,Off-Ball Cut,1
177,Off-Ball Cut,1
178,Catch + Shoot (3PT),0
179,Catch + Shoot (3PT),0
180,Catch + Shoot (3PT),0
181,Catch + Shoot (3PT),0
182,Catch + Shoot (3PT),0
183,Catch + Shoot (3PT),0
184,Pull-Up (2PT),0
185,Pull-Up (2PT),0
186,Pull-Up (2PT),1
187,Drive Left,0
188,Drive Left,0
189,Drive Right,0
190,Drive Right,1
191,Transition,0
192,Pull-Up (3PT),0
193,Catch + Shoot (3PT),1
194,Catch + Shoot (3PT),1
195,Catch + Shoot (3PT),0
196,Pull-Up (3PT),0
197,Pull-Up (3PT),0
198,Pull-Up (3PT),0
199,Pull-Up (3PT),0
200,Pull-Up (3PT),0
201,Pull-Up (3PT),1
202,Transition,1
203,Transition,0
204,Transition,0
205,Transition,0
206,Catch + Shoot (2PT),0
207,Catch + Shoot (2PT),0
208,Catch + Shoot (2PT),0
209,Catch + Shoot (2PT),0
210,Catch + Shoot (2PT),1
211,Catch + Shoot (2PT),1
212,Off-Ball Cut,0
213,Off-Ball Cut,0
214,Off-Ball Cut,1
215,Post-Up (Left),0
216,Post-Up (Right),0
217,Post-Up (Right),0
218,Drive + Dump,1
