,Play Type,Outcome
0,Transition,1
1,Perimeter/Pass,0
2,Transition,0
3,Offensive Rebound,F
4,Transition,0
5,Drive + Kick,0
6,Pull-Up,0
7,Perimeter/Pass,0
8,Perimeter/Pass,0
9,Transition,1
10,Drive + Kick,0
11,Drive + Kick,1
12,Drive + Kick,1
13,Drive + Kick,1
14,Off-Ball Cut,1
15,Drive + Kick,1
16,PnR Roll Man,0
17,Drive + Dump,1
18,Closeout Drive,0
19,Perimeter/Pass,0
20,Post Kick,1
21,Drive + Kick,1
22,PnR Drive,0
23,PnR Roll Man,1
24,Post-Up,0
25,Off-Ball Cut,1
26,Isolation Drive,0
27,Post-Up,1
28,Pull-Up,0
29,Pull-Up,0
30,Isolation Drive,0
31,Drive + Kick,1
32,Post Kick,0
33,Post Kick,0
34,Drive + Kick,1
35,Drive + Kick,0
36,Drive + Kick,0
37,PnR Roll Man,0
38,Perimeter/Pass,0
39,PnR Roll Man,0
40,Isolation Drive,F
41,Isolation Drive,1
42,Post-Up,0
43,Post-Up,1
44,Isolation Drive,0
45,Pull-Up,0
46,Perimeter/Pass,0
47,Drive + Kick,0
48,Offensive Rebound,0
49,Isolation Drive,0
50,Post-Up,0
51,PnR Roll Man,1
52,PnR Roll Man,F
53,Perimeter/Pass,0
54,PnR Drive,0
55,Offensive Rebound,0
56,Post Kick,0
57,PnR Roll Man,1
58,Transition,0
59,Post-Up,0
60,Pull-Up,0
61,Transition,0
62,Isolation Drive,1
63,Drive + Kick,0
