,Play Type,Outcome
0,Post-Up (Right),1
1,Post-Up (Right),1
2,Post-Up (Right),1
3,Post-Up (Right),1
4,Post-Up (Right),1
5,Post-Up (Right),1
6,Post-Up (Right),0
7,Post-Up (Right),0
8,Post-Up (Right),0
9,Post-Up (Right),0
10,Post-Up (Right),0
11,Post-Up (Right),0
12,Post-Up (Right),0
13,Drive Right,0
14,Drive Right,1
15,Transition,0
16,Drive + Dump,0
17,Drive + Dump,0
18,Drive + Dump,0
19,Drive + Dump,1
20,Offensive Rebound,0
21,Offensive Rebound,0
22,Offensive Rebound,1
23,Offensive Rebound,1
24,Post-Up (Left),0
25,Post-Up (Left),0
26,Post-Up (Left),0
27,Post-Up (Left),1
28,Post-Up (Left),1
29,Off-Ball Cut,1
30,Off-Ball Cut,1
31,Drive Left,0
32,Drive Left,0
33,Drive Left,0
34,Drive Left,0
35,Drive Left,1
36,Catch + Shoot (3PT),0
37,Catch + Shoot (3PT),0
38,Catch + Shoot (3PT),0
39,Catch + Shoot (3PT),0
40,Catch + Shoot (3PT),0
41,Catch + Shoot (3PT),0
42,Catch + Shoot (3PT),0
43,Catch + Shoot (3PT),0
44,Catch + Shoot (3PT),0
45,Catch + Shoot (3PT),0
46,Catch + Shoot (3PT),1
47,Catch + Shoot (3PT),1
48,Catch + Shoot (3PT),1
49,Catch + Shoot (3PT),1
50,Catch + Shoot (3PT),1
51,Catch + Shoot (3PT),1
52,Catch + Shoot (3PT),1
53,Catch + Shoot (3PT),1
54,Catch + Shoot (3PT),1
55,Pull-Up (2PT),0
56,Pull-Up (2PT),0
57,Pull-Up (2PT),0
58,Pull-Up (2PT),1
59,Pull-Up (2PT),1
60,Pull-Up (3PT),1
61,Catch + Shoot (2PT),0
62,Pull-Up (3PT),1
63,Drive Right,0
64,Drive Right,0
65,Drive Right,1
66,Drive Right,1
67,Drive Left,0
68,Drive Left,0
69,Drive Left,0
70,Drive Left,1
71,Catch + Shoot (3PT),0
72,Catch + Shoot (3PT),0
73,Catch + Shoot (3PT),0
74,Catch + Shoot (3PT),1
75,Catch + Shoot (2PT),0
76,Catch + Shoot (2PT),0
77,Catch + Shoot (2PT),0
78,Catch + Shoot (2PT),0
79,Catch + Shoot (2PT),0
80,Catch + Shoot (2PT),0
81,Catch + Shoot (2PT),0
82,Catch + Shoot (2PT),1
83,Catch + Shoot (2PT),1
84,Transition,1
85,Transition,1
86,Pull-Up (2PT),0
87,Pull-Up (2PT),0
88,Pull-Up (2PT),0
89,Pull-Up (2PT),0
90,Pull-Up (2PT),0
91,Pull-Up (2PT),0
92,Pull-Up (2PT),1
93,Pull-Up (2PT),1
94,Pull-Up (2PT),1
95,Off-Ball Cut,0
96,Off-Ball Cut,1
97,Offensive Rebound,1
98,Offensive Rebound,1
99,Offensive Rebound,0
100,Pull-Up (2PT),0
101,Pull-Up (2PT),0
102,Pull-Up (2PT),0
103,Pull-Up (2PT),0
104,Pull-Up (2PT),0
105,Pull-Up (2PT),0
106,Pull-Up (2PT),1
107,Pull-Up (2PT),1
108,Pull-Up (2PT),1
109,Drive Right,0
110,Drive Right,0
111,Drive Right,0
112,Drive Right,0
113,Drive Right,0
114,Drive Right,0
115,Drive Right,0
116,Drive Right,0
117,Drive Right,1
118,Drive Right,1
119,Drive Right,1
120,Pull-Up (3PT),0
121,Catch + Shoot (3PT),0
122,Catch + Shoot (3PT),0
123,Catch + Shoot (3PT),0
124,Catch + Shoot (3PT),0
125,Catch + Shoot (3PT),0
