,Play Type,Outcome
0,Drive Right,1
1,Drive Right,1
2,Drive Right,1
3,Drive Right,1
4,Drive Right,0
5,Drive Right,0
6,Drive Right,0
7,Drive Right,0
8,Drive Right,0
9,Drive Right,0
10,Off-Ball Cut,1
11,Off-Ball Cut,1
12,Off-Ball Cut,1
13,Off-Ball Cut,1
14,Off-Ball Cut,0
15,Off-Ball Cut,0
16,Off-Ball Cut,0
17,Off-Ball Cut,0
18,Catch + Shoot (3PT),0
19,Catch + Shoot (3PT),0
20,Catch + Shoot (3PT),0
21,Catch + Shoot (3PT),0
22,Catch + Shoot (3PT),0
23,Catch + Shoot (3PT),0
24,Catch + Shoot (3PT),0
25,Catch + Shoot (2PT),0
26,Catch + Shoot (2PT),0
27,Catch + Shoot (2PT),1
28,Drive Left,1
29,Drive Left,0
30,Pull-Up,1
31,Pull-Up,1
32,Pull-Up,1
33,Pull-Up,0
34,Pull-Up,0
35,Pull-Up,0
36,Catch + Shoot (2PT),0
37,Catch + Shoot (2PT),0
38,Catch + Shoot (2PT),1
39,Transition,0
40,Transition,0
41,Transition,0
42,Transition,1
43,Transition,1
44,Transition,1
45,Transition,1
46,Transition,1
