,Play Type,Outcome
0,Post Kick,0
1,Offensive Rebound,F
2,Isolation Drive,1
3,Pull-Up (3PT),1
4,PnR Drive,F
5,Isolation Drive,0
6,Transition,0
7,Post Kick,0
8,Post-Up,1
9,PnR Drive,0
10,PnR Drive,1
11,PnR Drive,F
12,Pull-Up (2PT),0
13,Pull-Up (2PT),0
14,Down Screen,0
15,PnR Drive,1
16,Flare Screen,0
17,Closeout Drive,0
18,Off-Ball Cut,0
19,Drive + Kick,0
20,PnR Drive,0
21,Drive + Kick,0
22,Down Screen,0
23,Closeout Drive,1
24,Pull-Up (2PT),0
25,Post-Up,0
26,Pull-Up (2PT),0
27,Post Kick,1
28,Isolation Drive,0
29,Perimeter/Pass,1
30,Isolation Drive,0
31,PnR Drive,0
32,Offensive Rebound,1
33,PnR Drive,0
34,Post-Up,0
35,Post Kick,0
36,Perimeter/Pass,1
37,Transition,0
38,Drive + Kick,0
39,Offensive Rebound,0
40,Post-Up,F
41,Drive + Kick,0
42,Offensive Rebound,0
43,Post-Up,0
44,PnR Drive,0
45,Drive + Kick,0
46,Transition,F
47,Closeout Drive,1
48,Isolation Drive,1
49,Isolation Drive,F
50,Down Screen,1
51,Isolation Drive,1
52,Isolation Drive,F
53,Drive + Kick,0
54,PnR Drive,F
55,Transition,1
56,Pull-Up (3PT),0
57,Drive + Kick,0
58,Pull-Up (2PT),0
59,Closeout Drive,0
60,PnR Drive,0
61,PnR Drive,0
62,Closeout Drive,F
63,Closeout Drive,1
64,Transition,1
65,Drive + Kick,0
66,Closeout Drive,1
67,Drive + Kick,0
68,Closeout Drive,0
69,Pull-Up (3PT),1
70,Drive + Kick,0
71,Closeout Drive,0
