,Play Type,Outcome
0,Drive + Kick,0
1,Drive + Kick,0
2,Drive + Kick,0
3,Post-Up,1
4,Post-Up,1
5,Post-Up,1
6,Post-Up,1
7,Post-Up,1
8,Post-Up,1
9,Post-Up,F
10,Post-Up,0
11,Post-Up,0
12,PnR Drive,0
13,PnR Drive,0
14,PnR Drive,0
15,PnR Drive,0
16,PnR Drive,0
17,PnR Drive,0
18,PnR Drive,1
19,PnR Drive,1
20,PnR Drive,1
21,PnR Drive,1
22,Transition,F
23,Transition,F
24,Transition,1
25,Transition,1
26,Transition,0
27,Transition,0
28,Transition,0
29,Pull-Up,0
30,Pull-Up,0
31,Pull-Up,0
32,Pull-Up,0
33,Pull-Up,0
34,Pull-Up,0
35,Pull-Up,1
36,Pull-Up,1
37,Pull-Up,0
38,Pull-Up,0
39,Offensive Rebound,0
40,Offensive Rebound,0
41,Isolation Drive,F
42,Isolation Drive,F
43,Isolation Drive,F
44,Isolation Drive,F
45,Isolation Drive,1
46,Isolation Drive,1
47,Isolation Drive,1
48,Isolation Drive,0
49,Perimeter Pass,0
50,Perimeter Pass,0
51,Perimeter Pass,0
52,Perimeter Pass,0
53,Perimeter Pass,1
54,Perimeter Pass,1
55,PnR Roll Man,0
56,PnR Roll Man,0
57,PnR Roll Man,1
58,PnR Roll Man,1
59,Off-Ball Cut,1
60,Off-Ball Cut,1
61,Pick-and-Pop,0
62,Pick-and-Pop,0
