,Play Type,Outcome
0,Post-Up,1
1,Closeout Drive,0
2,Offensive Rebound,0
3,Drive + Kick,1
4,Down Screen,1
5,Perimeter/Pass,1
6,Off-Ball Cut,F
7,Pull-Up,0
8,Pull-Up,0
9,Pull-Up,0
10,Post-Up,0
11,Offensive Rebound,1
12,Drive + Kick,0
13,Isolation Drive,0
14,Perimeter/Pass,1
15,Drive + Kick,0
16,Drive + Kick,0
17,Isolation Drive,0
18,Off-Ball Cut,1
19,Post-Up,1
20,Closeout Drive,0
21,Post Kick,0
22,Drive + Kick,0
23,Down Screen,1
24,Post-Up,0
25,Transition,1
26,Isolation Drive,1
27,Pull-Up,1
28,Post-Up,0
29,Post-Up,1
30,Pull-Up,1
31,Post-Up,0
32,Perimeter/Pass,0
33,Pull-Up,0
34,Closeout Drive,0
35,Perimeter/Pass,1
36,Isolation Drive,1
37,Isolation Drive,0
38,Isolation Drive,0
39,Closeout Drive,0
40,Offensive Rebound Kick,1
41,Isolation Drive,F
42,Offensive Rebound Kick,0
43,Offensive Rebound,1
44,Pull-Up,1
45,Transition,F
46,Isolation Drive,0
47,Closeout Drive,0
48,Closeout Drive,1
49,Pull-Up,0
50,Pull-Up,1
51,Pull-Up,0
52,Offensive Rebound Kick,0
53,Post Kick,1
54,Perimeter/Pass,0
55,Drive + Kick,0
56,Pull-Up,0
57,Perimeter/Pass,0
