,Play Type,Outcome
0,Catch + Shoot (3PT),0
1,Catch + Shoot (3PT),0
2,Pull-Up (3PT),0
3,Catch + Shoot (3PT),0
4,Catch + Shoot (3PT),0
5,Pull-Up (3PT),0
6,Pull-Up (2PT),1
7,Pull-Up (2PT),0
8,Catch + Shoot (3PT),0
9,Pull-Up (3PT),0
10,Pull-Up (2PT),0
11,Catch + Shoot (3PT),0
12,Catch + Shoot (3PT),0
13,Pull-Up (2PT),0
14,Pull-Up (2PT),0
15,Catch + Shoot (3PT),1
16,Catch + Shoot (3PT),0
17,Drive Right,1
18,Pull-Up (3PT),0
19,Pull-Up (2PT),1
20,Drive Left,1
21,Pull-Up (3PT),0
22,Catch + Shoot (3PT),0
23,Catch + Shoot (3PT),1
24,Pull-Up (2PT),0
25,Drive Left,0
26,Pull-Up (2PT),0
27,Pull-Up (2PT),1
28,Pull-Up (3PT),0
29,Pull-Up (3PT),0
30,Pull-Up (2PT),0
31,Drive Left,0
32,Catch + Shoot (3PT),1
33,Drive Right,0
34,Pull-Up (2PT),1
35,Catch + Shoot (3PT),0
36,Drive Left,0
37,Pull-Up (2PT),0
38,Catch + Shoot (3PT),0
39,Catch + Shoot (3PT),0
40,Catch + Shoot (3PT),0
41,Pull-Up (2PT),0
42,Pull-Up (2PT),0
43,Catch + Shoot (3PT),0
44,Pull-Up (2PT),0
45,Pull-Up (2PT),0
46,Pull-Up (2PT),0
47,Catch + Shoot (3PT),0
48,Catch + Shoot (3PT),0
49,Pull-Up (3PT),0
50,Drive Left,1
