,Play Type,Outcome
0,Post-Up,1
1,Post-Up,1
2,Post-Up,1
3,Post-Up,0
4,Catch + Shoot 3,0
5,Catch + Shoot 3,0
6,Catch + Shoot 3,0
7,Catch + Shoot 3,0
8,Catch + Shoot 3,0
9,Catch + Shoot 3,0
10,Catch + Shoot 3,0
11,Catch + Shoot 3,0
12,Catch + Shoot 3,0
13,Catch + Shoot 3,0
14,Catch + Shoot 3,0
15,Catch + Shoot 3,1
16,Catch + Shoot 3,1
17,Catch + Shoot 3,1
18,Catch + Shoot 3,1
19,Catch + Shoot 3,1
20,Catch + Shoot 3,1
21,Catch + Shoot 3,1
22,Catch + Shoot 3,1
23,Pull-Up,0
24,Offensive Rebound,1
25,Offensive Rebound,1
26,Offensive Rebound,1
27,Isolation/Drive,1
28,Isolation/Drive,1
29,Isolation/Drive,1
30,Isolation/Drive,0
31,Isolation/Drive,F
